
code	|	name	|	preferred name	|	lineage
1	|	Aeribacillus pallidus	|	 	|	33936 1055323 186817 1385 91061 1239 1783272 2 131567 
1	|	Aerococcus christensenii	|	 	|	87541 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	Aerococcus sanguinicola	|	 	|	119206 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	Aerococcus suis	|	 	|	371602 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	Aerococcus urinae	|	 	|	1376 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	Aerococcus urinaehominis	|	 	|	128944 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	Aerococcus viridans	|	 	|	1377 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	Aeromicrobium choanae	|	 	|	1736691 2040 85015 85009 1760 201174 1783272 2 131567 
1	|	Aeromicrobium erythreum	|	 	|	2041 2040 85015 85009 1760 201174 1783272 2 131567 
1	|	Aeromicrobium marinum	|	 	|	219314 2040 85015 85009 1760 201174 1783272 2 131567 
1	|	Aeromicrobium massiliense	|	 	|	1464554 2040 85015 85009 1760 201174 1783272 2 131567 
1	|	Aeromonas caviae	|	 	|	648 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas dhakensis	|	 	|	196024 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas diversa	|	 	|	502790 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas enteropelogenes	|	 	|	29489 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas eucrenophila	|	 	|	649 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas fluvialis	|	 	|	591962 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas hydrophila	|	 	|	644 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas media	|	 	|	651 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas molluscorum	|	 	|	271417 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas salmonicida	|	 	|	645 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas schubertii	|	 	|	652 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas simiae	|	 	|	218936 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas sobria	|	 	|	646 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas taiwanensis	|	 	|	633417 642 84642 135624 1236 1224 2 131567 
1	|	Aeromonas veronii	|	 	|	654 642 84642 135624 1236 1224 2 131567 
1	|	Aestuariimicrobium kwangyangense	|	 	|	396389 396388 31957 85009 1760 201174 1783272 2 131567 
1	|	Aestuariivita boseongensis	|	 	|	1470562 1608457 31989 204455 28211 1224 2 131567 
1	|	Afifella marina	|	 	|	1080 643217 119043 356 28211 1224 2 131567 
1	|	Afifella pfennigii	|	 	|	209897 643217 119043 356 28211 1224 2 131567 
1	|	Afipia birgiae	|	 	|	151414 1033 41294 356 28211 1224 2 131567 
1	|	Afipia broomeae	|	 	|	56946 1033 41294 356 28211 1224 2 131567 
1	|	Afipia clevelandensis	|	 	|	1034 1033 41294 356 28211 1224 2 131567 
1	|	Afipia felis	|	 	|	1035 1033 41294 356 28211 1224 2 131567 
1	|	Agarivorans albus	|	 	|	182262 261825 72275 135622 1236 1224 2 131567 
1	|	Agarivorans gilvus	|	 	|	680279 261825 72275 135622 1236 1224 2 131567 
1	|	Agathobaculum desmolans	|	 	|	39484 2048137 541000 186802 186801 1239 1783272 2 131567 
1	|	Aggregatibacter actinomycetemcomitans	|	 	|	714 416916 712 135625 1236 1224 2 131567 
1	|	Aggregatibacter aphrophilus	|	 	|	732 416916 712 135625 1236 1224 2 131567 
1	|	Aggregatibacter segnis	|	 	|	739 416916 712 135625 1236 1224 2 131567 
1	|	Agreia bicolorata	|	 	|	110935 110934 85023 85006 1760 201174 1783272 2 131567 
1	|	Agrobacterium albertimagni	|	 	|	147266 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrobacterium fabrum	|	 	|	1176649 1183400 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrobacterium rhizogenes	|	 	|	359 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrobacterium rubi	|	 	|	28099 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrobacterium sp. H13-3	|	 	|	861208 2632611 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrobacterium tumefaciens	|	 	|	358 1183400 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrobacterium vitis	|	 	|	373 357 227290 82115 356 28211 1224 2 131567 
1	|	Agrococcus baldri	|	 	|	153730 46352 85023 85006 1760 201174 1783272 2 131567 
1	|	Agrococcus carbonis	|	 	|	684552 46352 85023 85006 1760 201174 1783272 2 131567 
1	|	Agrococcus casei	|	 	|	343512 46352 85023 85006 1760 201174 1783272 2 131567 
1	|	Agrococcus jejuensis	|	 	|	399736 46352 85023 85006 1760 201174 1783272 2 131567 
1	|	Agrococcus lahaulensis	|	 	|	341722 46352 85023 85006 1760 201174 1783272 2 131567 
1	|	Agromyces aureus	|	 	|	453304 33877 85023 85006 1760 201174 1783272 2 131567 
1	|	Agromyces cerinus	|	 	|	33878 33877 85023 85006 1760 201174 1783272 2 131567 
1	|	Agromyces flavus	|	 	|	589382 33877 85023 85006 1760 201174 1783272 2 131567 
1	|	Agromyces italicus	|	 	|	279572 33877 85023 85006 1760 201174 1783272 2 131567 
1	|	Agromyces subbeticus	|	 	|	293890 33877 85023 85006 1760 201174 1783272 2 131567 
1	|	Ahrensia kielensis	|	 	|	76980 152180 31989 204455 28211 1224 2 131567 
1	|	Akkermansia glycaniphila	|	 	|	1679444 239934 1647988 48461 203494 74201 1783257 2 131567 
1	|	Akkermansia muciniphila	|	 	|	239935 239934 1647988 48461 203494 74201 1783257 2 131567 
1	|	Albidovulum xiamenense	|	 	|	990712 205889 31989 204455 28211 1224 2 131567 
1	|	Albimonas donghaensis	|	 	|	356660 663242 31989 204455 28211 1224 2 131567 
1	|	Albimonas pacifica	|	 	|	1114924 663242 31989 204455 28211 1224 2 131567 
1	|	Alcaligenes faecalis	|	 	|	511 507 506 80840 28216 1224 2 131567 
1	|	Alcanivorax borkumensis	|	 	|	59754 59753 224372 135619 1236 1224 2 131567 
1	|	Alcanivorax dieselolei	|	 	|	285091 59753 224372 135619 1236 1224 2 131567 
1	|	Alcanivorax hongdengensis	|	 	|	519051 59753 224372 135619 1236 1224 2 131567 
1	|	Alcanivorax jadensis	|	 	|	64988 59753 224372 135619 1236 1224 2 131567 
1	|	Alcanivorax nanhaiticus	|	 	|	1177154 59753 224372 135619 1236 1224 2 131567 
